ID,SMILES,UX,UY,MOLWT,SOLUBILITY,LOGP,NHACCEPT,NHDONER,NHETEROATOMS,NROTABLEBONDS,FRACCSP3,TPSA
CHEMBL1405,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,8.127005577087402,6.485250949859619,270.37199999999996,-2.46,3.817400000000002,2,1,2,0,0.6111111111111112,37.3
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,8.458224296569824,6.324061870574951,382.89100000000025,-2.46,4.887800000000005,3,0,5,1,0.36363636363636365,42.43
CHEMBL1528627,CN(C)C(=O)c1nnsc1Sc1ccc(Cl)cc1,8.858116149902344,6.6599602699279785,299.808,-1.5,3.044500000000001,5,0,7,3,0.18181818181818182,46.09
CHEMBL256995,CC(Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C,2.9488322734832764,15.556525230407715,473.56200000000024,-1.36,4.083400000000003,9,1,10,7,0.20833333333333334,98.06000000000002
CHEMBL39058,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cccnc12,7.164841651916504,5.645885467529297,348.1890000000001,-1.34,4.1975000000000025,4,1,7,3,0.0625,64.11
CHEMBL1398535,N#Cc1cnn(-c2ccccc2)c1NC(=O)c1ccccc1F,6.485922813415527,6.002359867095947,306.3,-1.32,3.1353800000000014,4,1,6,3,0.0,70.71000000000001
CHEMBL22586,O=C(O)c1nc2cc(Cl)ccc2[nH]1,8.8106107711792,6.675983428955078,196.59300000000002,-1.32,1.9144999999999996,2,2,5,1,0.0,65.97999999999999
CHEMBL383593,COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCN(C(C)=O)CC4)cc(OC(C)C)c23)n1,5.808015823364258,13.63188362121582,529.0410000000004,-1.3,4.150600000000003,9,1,11,10,0.46153846153846156,101.94
CHEMBL1762533,COc1ccnc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1,2.4246225357055664,8.49410343170166,477.56900000000047,-1.29,3.0649000000000015,10,1,10,7,0.4,88.11
CHEMBL2325740,COCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-9.089889526367188,3.2122960090637207,442.95100000000014,-1.28,2.8030000000000017,6,3,9,7,0.4090909090909091,109.16
CHEMBL1299619,CSCc1cc(N2CCOCC2)nc(-c2ccccc2)n1,5.350274085998535,9.681839942932129,301.41499999999996,-1.26,2.8432000000000013,5,0,5,4,0.375,38.25
CHEMBL439344,CC(C)Oc1cc(OC(C)Cc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,-2.8404290676116943,-5.7867751121521,434.4920000000002,-2.07,4.8293000000000035,5,2,7,9,0.24,97.75
CHEMBL2325713,CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3ccccc3)n2)CC1,5.0996317863464355,9.946324348449707,359.451,-2.05,2.0138999999999996,6,0,7,4,0.4444444444444444,72.39
CHEMBL412083,CCNC(=O)c1ccc(CN2CCC(c3ccc(C(=O)Nc4ccccc4N)cc3)CC2)cc1,4.840741157531738,4.79702091217041,456.59000000000015,-2.04,4.650400000000003,4,3,6,7,0.2857142857142857,87.46000000000001
CHEMBL257477,COCCN(C)C(=O)C(C)Oc1cccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c12,4.05887508392334,14.788872718811035,501.5870000000003,-1.95,5.049640000000005,8,1,9,10,0.2857142857142857,98.7
CHEMBL2086682,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3c(F)cncc3F)cn2)CC1,19.11781120300293,5.064619541168213,407.4210000000001,-1.94,2.7859000000000016,7,0,10,4,0.47368421052631576,80.68
CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,6.3386054039001465,14.149112701416016,467.9320000000002,-2.82,5.097580000000004,6,2,9,8,0.20833333333333334,90.27999999999999
CHEMBL1857945,CN(C)CCNc1cc(-c2ccccc2)nc2cc(-c3ccc(F)cc3)nn12,7.76881742477417,7.974053859710693,375.4510000000001,-2.68,4.175900000000002,5,1,6,6,0.18181818181818182,45.459999999999994
CHEMBL1533401,O=S(=O)(c1ccc(N2CCC(c3ccc(Cl)cc3)=N2)cc1)N(CCO)CCO,8.719691276550293,6.992312908172607,423.92200000000014,-2.66,1.9297,6,2,9,8,0.3157894736842105,93.44000000000001
CHEMBL2147033,O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cnccc5c4)cc3)CC2)CN1C1CC1,7.939363956451416,7.041013240814209,477.5860000000003,-2.66,3.4463000000000017,5,0,8,4,0.38461538461538464,79.80999999999999
